Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
"...And to Those I Love, Thanks for Sticking Around",STOP STARING AT THE SHADOWS,$uicideboy$,2020-02-14,QZAPK1900020,1709,35.3,675082623,167727,15198984,73.0,269460083,3292285,429682,52925469,318296586,5466526,14.0,9,,5.0,22406,,11746442,31117,3195912,1,2020
Bite Me,DARK BLOOD,ENHYPEN,2023-05-22,USA2P2319853,1713,35.3,263851286,17657,7369849,73.0,161653032,3135324,120256,103362311,483823339,73829305,18.0,2228,28,3.0,50385,11.0,997675,1454,434604,0,2023
Promises (with Sam Smith),Promises (with Sam Smith),Calvin Harris,2018-08-17,GBARL1801049,1711,35.3,1036104210,125480,39427143,69.0,656926852,3449298,17106,3825116,27087495,580519715,186.0,145284,75,332.0,2111032,26.0,48403430,11010,11320622,0,2018
Cover Me In Sunshine,Cover Me In Sunshine,P!nk,2021-02-12,USRC12100138,1715,35.3,439034558,90145,20519485,64.0,115408379,1213873,269475,31650070,296160904,48805502,130.0,263933,105,63.0,1248937,40.0,42849405,28351,3598273,0,2021
Outside (feat. Ellie Goulding),Full Circle: The Live Anthology,Calvin Harris,2011-11-20,GBARL1401201,1708,35.3,1128783268,167396,68560436,79.0,1029118874,6969569,834862,93260597,763486350,307509513,108.0,36585,19,70.0,962058,19.0,190785028,61098,10713096,0,2011
Bamba (feat. Aitch & BIA),Bamba (feat. Aitch & BIA),Luciano,2022-09-22,DECE72202389,1723,35.2,201638049,82200,8134899,62.0,79916576,787609,81594,10114609,128627839,48973181,14.0,6954,,8.0,55350,10.0,2062,22,1285204,1,2022
Sin Querer,Sin Querer - Single,Fer Vazquez,2023-12-14,ARC082300049,1720,35.2,46660424,4000,10260168,67.0,102166795,528710,149300,8173814,132683756,1545281605,,2230,,3.0,52458,5.0,8010,,79180,1,2023
Filhall 2,Filhall 2,B Praak,2020-06-19,QZLQR2052977,1721,35.2,81182241,2,18,,1138411241,9088368,897400,31231758,408728922,183195247,,,,,,,,,,0,2020
TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,KRA392100080,1724,35.2,286016224,26565,10803270,67.0,496270574,4490255,43300,26703316,232860888,168900715,18.0,3005,,6.0,43550,30.0,645800,1252,559921,0,2022
Everything I Love,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,USUG12300803,1722,35.2,173756454,32550,3744217,68.0,16950068,90473,164397,25491443,233214006,,18.0,135232,32,,,20.0,32268708,7441,459770,0,2023
ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,Md Faisal Ahmed,2023-07-09,QZLQR2199831,1731,35.1,2274,,,,298368336,1953917,,,,,,,,,,,,,,0,2023
Butta My Bread,Butta My Bread - Single (feat. Lasmid) - Single,JZyNo,2023-04-07,TCAGZ2348437,1729,35.1,46431158,23723,2774325,60.0,30482110,207290,1234800,20141869,254178400,32845152,19.0,1812,56,6.0,140305,,116796,57,2164282,0,2023
Barking,Barking,Ramz,2017-12-01,GBUM71706255,1726,35.1,514888081,137084,10305963,62.0,71371266,619646,7729856,112113109,941134581,,33.0,16087,,18.0,94554,4.0,1006811,15616,2693743,0,2017
One Of Them Girls,One Of Them Girls,Lee Brice,2020-04-10,USCRB1900135,1728,35.1,382466683,51259,13516221,67.0,187677909,917156,261782,22973089,187911533,509177286,,334453,182,6.0,3740,18.0,327029805,63395,,0,2020
INFERNO,INFERNO,Sub Urban,2021-08-13,USWB12101521,1730,35.1,233661226,44552,8372930,60.0,179525477,4809845,2856125,458439237,4078323042,1102079805,13.0,4532,152,10.0,304020,12.0,6642847,6543,935053,0,2021
Hold On,Hold On,Chord Overstreet,2017-02-03,USUM71615568,1725,35.1,847578246,122390,28205829,73.0,817730890,8045419,735926,173724076,1343189392,254053114,20.0,452,,6.0,25805,,133204015,120281,2901322,0,2017
Bipolar,Bipolar,Mc Davi,2021-04-09,BXG6R2100310,1727,35.1,174403309,32650,7030076,52.0,357542893,3589715,3012486,128104419,1360596383,21502622,34.0,3235,,35.0,210291,3.0,,,318311,1,2021
bury a friend,bury a friend,Billie Eilish,2019-01-30,USUM71900770,1739,35.0,1014870547,114243,30570088,68.0,574257361,9631821,1033277,204385730,1519293340,448375514,122.0,18698,111,50.0,266744,62.0,76120834,79036,4133474,0,2019
Time Slowly Slippin',Reflections,LAZA,2022-11-25,DEG932204253,1736,35.0,,5,367,,492594923,1652234,,,,,,2,,,,,,,9,0,2022
"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019-12-27,NOG841907010,1740,35.0,606284550,81259,19361013,69.0,410411873,5873984,1859523,74967409,967965294,187346605,57.0,84664,,49.0,510696,13.0,3922831,4164,5281784,0,2019
El Tsurito,El Tsurito,Junior H,2023-04-07,QZ9QQ2300262,1741,35.0,257812063,24070,9835143,69.0,185512305,813988,62900,9583585,80538339,,18.0,2,,6.0,1432631,6.0,8526077,1218,391732,1,2023
GOOD LOYAL THOTS,GOOD LOYAL THOTS,Odetari,2023-03-15,QZES92330937,1734,35.0,222975417,36832,6604256,71.0,45543286,773400,803702,104617204,664995622,,2.0,1,20,,,,1396913,3191,606670,1,2023
