Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
changes,changes,XXXTENTACION,2018-03-02,USUG11800211,729,56.8,1366479990,171651,36731138,70.0,1002422657,14134657,1951109,167016763,1763949180,45887113,31.0,112,,21.0,344528,11.0,138516743,187030,4184844,0,2018
Tell Ur Girlfriend,Tell Ur Girlfriend,Lay Bankz,2024-02-07,QZZ4J2400019,730,56.7,167431139,10335,116287670,90.0,28987197,443524,,16577348,235871001,148521798,26.0,14654,416,26.0,8022044,52.0,579514,5469,932674,1,2024
SPIDER,SPIDER,GIMS,2024-05-10,FR8FB2407800,731,56.6,26972053,3364,11637634,76.0,18860058,231781,,,,2606582,22.0,2427,,29.0,18421648,11.0,,,396272,0,2024
Sunday Best,Where the Light Is,Surfaces,2018-08-28,TCAEA1802695,733,56.6,952626904,151446,27674084,16.0,195696821,2597296,9436402,364342730,2800998751,83356911,217.0,113898,381,62.0,163426,17.0,125033350,197341,3892098,0,2018
Guli Mata,Guli Mata,Saad Lamjarred,2023-07-12,USA2P2331239,734,56.6,75152048,8540,685520,62.0,386890237,4145747,969,82604,1152931,31295331,2.0,709,,2.0,1211,8.0,,,1154213,0,2023
HOLA PERDIDA,HOLA PERDIDA,Luck Ra,2024-01-05,CLPP22300118,732,56.6,110573724,10663,17155186,69.0,143032680,568468,,641,6600,980054248,11.0,6287,,29.0,508330,2.0,17295,37,135309,0,2024
Better,Better,Khalid,2018-09-14,USRC11803179,736,56.5,1355539058,108485,20494060,72.0,1260752640,6104356,481790,128052245,1105088867,954537813,160.0,,193,45.0,816136,37.0,525201971,193586,6630901,0,2018
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,2019-05-10,GBAHS1900672,735,56.5,1816356140,156748,74047669,70.0,1095859229,11144552,209758,24824442,246666552,2108390436,46.0,404463,224,185.0,402505,83.0,,,,1,2019
Substitution,Substitution,Purple Disco Machine,2023-03-30,DEE862300093,737,56.4,218035732,36861,48220875,72.0,87739719,494331,47655,2485202,61830611,458712418,74.0,247253,5,84.0,2315638,44.0,31259,76,3546222,0,2023
Automotivo Bibi Fogosa,Automotivo Bibi Fogosa,Bibi Babydoll,2023-05-19,QZMZ92361338,739,56.4,267867000,47406,32423214,36.0,109440296,1722866,796000,207462897,1908916908,407,6.0,272,1,13.0,298723,7.0,,,3212495,1,2023
MERCHO,MERCHO,LiL CaKe,2022-12-16,ARF102200411,738,56.4,366462735,52345,27129754,67.0,184622271,842979,1617600,191086404,2944174250,5649989,29.0,23573,,31.0,257981,27.0,,,769452,0,2022
Bandook,Bandook,Nirvair Pannu,2020-05-30,FR96X2024977,740,56.4,40178056,5825,638204,54.0,156528470,1410824,12558440,85606014,1349843169,62493,2.0,3,,,,,,,95575,0,2020
Silence,Silence,Marshmello,2017-08-11,USRC11701901,741,56.3,1592440653,188349,52573571,77.0,783959373,6101966,1101293,107580637,807230686,243663431,142.0,29628,218,66.0,494840,51.0,334480164,109497,8572710,0,2017
Miï¿½ï¿½n,Miï¿½ï¿½n,TINI,2021-04-29,USHR12141512,742,56.3,723722454,79670,35967048,73.0,869498397,4948905,916770,122604577,1607695575,166684466,80.0,28464,170,29.0,394359,64.0,6768367,3258,1358270,0,2021
Trap Queen,Trap Queen,Fetty Wap,2014-12-15,QM7XC1400004,744,56.2,1182373720,201337,36698633,70.0,1260463421,8611729,319849,50946038,414475658,370912165,178.0,34082,208,46.0,267686,29.0,,,9253461,1,2014
Sign of the Times,Sign of the Times,Harry Styles,2017-04-07,USSM11703595,743,56.2,1532653504,191817,85380382,76.0,1799935129,15452150,241402,80177249,500970525,1650960443,147.0,42284,38,95.0,2122787,67.0,68085051,78588,18327076,0,2017
METAMORPHOSIS,METAMORPHOSIS,INTERWORLD,2021-11-25,QZS642102633,746,56.2,624007138,88566,48503856,76.0,300340121,3913127,386544,202072663,2052187356,129187266,17.0,288,,4.0,105339,9.0,2406709,5823,2577920,1,2021
Botella Tras Botella,Botella Tras Botella,Gera MX,2021-04-23,MXUM62100001,747,56.2,647496971,72494,22027404,71.0,895962908,7617641,354200,41756321,396552302,20964348,63.0,17408,144,26.0,1707077,63.0,83951107,44360,2239738,0,2021
"Me, Myself & I","Me, Myself & I",G-Eazy,2015-10-14,USRC11502210,745,56.2,1280838046,174312,39798446,73.0,807688972,6060762,8981813,72353082,439764052,402411855,106.0,3613,,49.0,200919,6.0,610892547,348211,10221814,1,2015
"Steal The Show - From ""Elemental""","Steal The Show (From ""Elemental"")",Lauv,2023-06-02,USWD12326770,749,56.1,117717973,20157,12372416,68.0,198045947,1142920,1101758,32704079,409104776,45005060,56.0,3019,,2.0,19049,15.0,1551964,6140,1696007,0,2023
Lut Gaye,Lut Gaye,Jubin Nautiyal,2021-02-17,INS182100281,751,56.1,171856399,16697,3873550,56.0,1524735898,11671430,2736,167529,2560589,232645756,7.0,,,,,6.0,,,826805,0,2021
Piel,Piel,Tiago PZK,2024-02-01,USWL12400226,748,56.1,128833634,6815,48721232,79.0,114263622,572164,,2444806,31395017,886851471,10.0,5365,75,23.0,3206502,19.0,100637,199,307811,1,2024
Pasoori,Pasoori,Shae Gill,2022-02-06,FR10S2289473,750,56.1,346971014,37940,6753521,65.0,928440031,9495255,627,225218,2638039,236473638,17.0,3701,,1.0,1097,7.0,,,673415,0,2022
the boy is mine,eternal sunshine,Ariana Grande,2024-03-08,USUM72317268,752,56.0,175336290,8386,79812251,80.0,44458370,1448800,225,397044,3842071,297433202,46.0,4569,18,18.0,1000937,52.0,1253330,1313,209987,1,2024
When We Were Young (The Logical Song),When We Were Young (The Logical Song),David Guetta,2023-11-10,UKWLG2300117,754,55.9,158952262,20712,61778572,3.0,31073689,328486,,,,1644370622,48.0,102033,363,73.0,3521094,52.0,2844763,121,1754057,0,2023
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nu King,Jason Derulo,2024-02-16,USAT22400762,755,55.9,,,,,,,,,,,,,,,,9.0,,,10744906,0,2024
Lay Low,Lay Low,Tiï¿½ï¿,2023-01-06,NLZ542202348,756,55.9,406141247,67235,95995595,70.0,91367578,707830,173461,21756073,588640576,335569922,93.0,142340,498,66.0,1547811,3.0,,,3933085,0,2023
Bounce When She Walk,Bounce When She Walk,Ohboyprince,2023-02-03,QZFZ72321643,753,55.9,18637452,6915,751599,45.0,6534668,116631,4038735,280985573,3179523129,,2.0,1271,51,,,,203441,1633,1081839,1,2023
"Apna Bana Le (From ""Bhediya"")","Apna Bana Le (From ""Bhediya"")",Arijit Singh,2022-11-05,INZ031411736,757,55.8,250599391,19757,12938935,66.0,642774625,4620243,,,,2903846,27.0,1266,,1.0,1097,10.0,,,476013,0,2022
Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,2022-05-03,USUM72206231,759,55.7,315680664,50632,13985305,69.0,317472115,2373170,129481,23093203,424398738,5867793586,48.0,266181,421,27.0,243087,42.0,45731400,18758,5802558,0,2022
Big Energy,Big Energy - Single,Latto,2021-09-24,USRC12102454,758,55.7,324162855,53099,32807694,61.0,60970543,695638,247053,95081920,994551093,1214970,66.0,697459,3758,22.0,822207,42.0,104995029,62461,5969740,1,2021
Goodbyes (feat. Young Thug),Goodbyes (Feat. Young Thug),Post Malone,2019-07-05,USUM71912330,761,55.6,1263989128,156671,25905453,72.0,795828166,8115938,35383,8434416,78005488,508823655,128.0,117516,394,166.0,396114,25.0,230614636,107631,5216769,1,2019
Location,Location,Khalid,2016-05-24,TCACO1662934,760,55.6,1369299352,169370,32275029,71.0,815137609,5138837,80456,17516516,77860109,170885369,188.0,50322,119,63.0,235041,53.0,471086924,389023,4283369,0,2016
Italodisco,Italodisco,The Kolors,2023-05-05,ITQ002300342,762,55.4,142141861,22711,10786942,67.0,142319744,819805,946028,19085610,403681891,258305365,37.0,81612,,10.0,3281500,13.0,32117,172,3570846,1,2023
Perfect Night,Perfect Night,LE SSERAFIM,2023-10-27,USA2P2349660,763,55.4,279667395,23583,16220736,78.0,93707680,1139367,316771,152082704,1178951518,1201238468,29.0,4596,79,11.0,313525,28.0,493236,443,435036,0,2023
Vida de Rico,Vida de Rico,Camilo,2020-09-21,USSD12000388,767,55.4,568823269,54968,26455856,64.0,1094129734,7637000,1913634,77602054,835046287,149145491,112.0,45003,73,24.0,135286,39.0,21813224,14722,1819660,0,2020
Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,2023-04-07,USQX92302369,765,55.4,432988420,32294,28454994,67.0,194658217,1261625,633280,45475847,750998497,9725361,35.0,22768,31,14.0,1229279,25.0,33073012,10830,1407776,0,2023
In My Feelings,Scorpion,Drake,2018-06-29,USCM51800206,766,55.4,1389607643,179820,36937605,68.0,749282095,9464140,294022,46457728,521014819,204014215,144.0,18150,396,65.0,496515,53.0,344214850,668750,7188287,1,2018
You Broke My Heart,For All The Dogs Scary Hours Edition,Drake,2023-10-06,USUG12309646,764,55.4,123522254,26849,21166663,,21213402,365281,2214,572150,3432405,1827340338,25.0,91995,20,6.0,159003,33.0,11677247,5338,814161,1,2023
Attention,Attention,Charlie Puth,2017-04-20,USAT21700928,768,55.3,1800254516,162682,40159047,75.0,1875529996,14529538,391214,96491219,759021013,1775438219,,22199,160,135.0,792329,40.0,352441778,196853,,0,2017
Zhurek,Zhurek,Adam,2023-10-06,DGA0M2333309,770,55.3,8893883,1745,385351,,238585397,1478754,59100,107018,1640900,628241049,8.0,4579,,,,,,,3415610,0,2023
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,2018-05-25,USAT21802284,769,55.3,1709991997,187053,79925766,80.0,1447964376,19917766,2026064,188810282,2833687729,1915732260,1.0,1563,132,41.0,460093,10.0,,,,0,2018
In The End,In the End,Tommee Profitt,2018-04-06,TCADO1871408,771,55.2,85068645,23747,2345029,52.0,1615682416,16097448,7610004,421716078,6274917849,104330417,11.0,96,6,3.0,28699,,850756,1833,8985174,0,2018
Took Her To The O,Took Her To The O,King Von,2020-02-21,USUYG1296663,772,55.1,497832707,156669,13464335,74.0,265905159,2363958,171287,89782204,644816718,7516419,30.0,939,,2.0,4396,10.0,33625448,44231,1146823,1,2020
Boyfriend,Boyfriend,Dove Cameron,2022-02-11,USQX92200693,774,55.1,637836235,96878,50739981,68.0,182917309,3547237,488047,311431134,1955825500,3121389798,54.0,241487,2099,38.0,346695,35.0,54288683,24559,2178227,1,2022
Orquestra Maldita,Orquestra Maldita,TRASHXRL,2023-06-15,SGW502301764,773,55.1,119445482,16844,15941203,14.0,52878314,712327,2337660,235664103,3177714575,,1.0,,,,,,,,,1,2023
Sucker,Sucker,Jonas Brothers,2019-03-01,USUG11900515,775,55.0,1411856834,128280,42394972,73.0,641158161,9661491,328479,33317769,280853608,487784808,214.0,499130,814,176.0,671754,90.0,281820508,190779,6948452,0,2019
Alone,Alone,Marshmello,2016-05-13,CA6D21600147,776,55.0,561103984,80971,18764148,65.0,3130843590,32799797,524156,50668664,462245126,454361203,48.0,3744,2,16.0,66450,17.0,43619580,201447,3223632,0,2016
Moto,Moto - Single,Diler Kharkiya,2020-01-06,INR731900731,778,54.9,,424,60155,,706716815,3418527,10000000,79580452,1357260180,,,,,,,,,,,0,2020
Pareja Del Aï¿½,Pareja Del Aï¿½,Sebastian Yatra,2021-04-16,USUM72104664,779,54.9,817933263,104636,31495621,70.0,658407296,4541248,877700,82923244,870762842,136526601,105.0,51363,244,36.0,1953756,46.0,41931285,7638,2894166,0,2021
PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,2022-10-20,QZNMX2257577,777,54.9,193109326,76047,4765141,8.0,64413388,1143541,238183,174951046,1526856459,210031126,17.0,40110,2704,4.0,479325,1.0,7692981,6306,2304354,1,2022
GOOBA,GOOBA,6ix9ine,2020-05-08,QZA742002191,780,54.8,472027271,97766,8876147,2.0,1012949756,14257151,2295814,448572991,4846286370,155050116,22.0,120,57,10.0,24148,3.0,11693239,76976,2224515,1,2020
vampire,vampire,Olivia Rodrigo,2023-06-30,USUG12305004,781,54.8,997536616,5268,1949130,1.0,,,,,,,48.0,301028,,2.0,18375,2.0,,,,0,2023
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401989,790,54.7,66101468,3693,9878576,84.0,4252419,117031,180,1800000,11200000,934654,45.0,195,16,5.0,56919,9.0,184455,248,52008,0,2024
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),2024-05-17,GBARL2400669,785,54.7,4505404,1248,19427406,64.0,,,,,,,2.0,25,,2.0,34694,31.0,,,24801,1,2024
Light Switch,Light Switch (Instrumental),Charlie Puth,2022-01-19,USAT22107359,782,54.7,593554969,84288,17284885,67.0,284499511,3909648,506518,475880505,4729678365,3277338062,98.0,201936,866,30.0,685471,48.0,55256200,10657,2231820,0,2022
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,2024-05-01,INS182401375,783,54.7,1852457,79,3399376,,57254911,1254450,,,,,,91,,,,11.0,,,4169,0,2024
On Me,On Me,Lil Baby,2020-12-04,USUG12004399,788,54.7,368017246,105732,15129396,67.0,227182263,1554044,163221,22024839,198936453,37367982,57.0,178634,372,9.0,32400,6.0,141610948,45141,1728476,1,2020
when the party's over,when the party's over,Billie Eilish,2018-10-17,USUM71815958,787,54.7,1845938685,186633,79124996,79.0,931398498,13775924,1622629,210787744,1349258289,750592461,163.0,24691,55,62.0,398168,32.0,139323553,150239,5811377,0,2018
Love The Way You Lie,538 Hitzone 55,Eminem,2010-01-01,USUM71015397,784,54.7,1532052160,236943,76167038,79.0,3009144927,15864764,208118,23435916,223136013,254272987,84.0,4437,,67.0,669362,49.0,800108842,1358251,10011625,1,2010
Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214885,789,54.7,725076772,83311,29009374,72.0,296661885,2150658,705800,287983296,3014389754,22621115,51.0,39010,150,15.0,1934966,19.0,64496554,17065,1467014,0,2022
Make You Mine,Make You Mine,Madison Beer,2024-02-09,USSM12400758,786,54.7,127909006,13354,49984859,,26653465,788713,,12674158,295301300,191049109,78.0,31924,7,84.0,9231885,42.0,4474757,1113,1031888,0,2024
Freaks,Freaks,Surf Curse,2021-05-15,USAT22102269,791,54.6,1089328286,200016,33498182,77.0,256738121,4601685,511,265535,2110692,4098036,25.0,10305,453,11.0,10105,25.0,15296063,15812,4341439,0,2021
In Da Getto,In Da Getto,J Balvin,2021-07-02,QZM5U2100095,792,54.6,484375103,133279,27602101,61.0,218975838,3159820,1920220,452069335,6219918723,90132395,131.0,69511,795,43.0,354884,58.0,43024314,14600,7336982,0,2021
Chale,Chale - Single,Eden Muï¿½ï,2022-02-18,MXB952200017,794,54.5,414104069,33044,18247093,67.0,665626745,2889082,968864,248485504,2953043191,28563266,18.0,17222,361,4.0,196022,43.0,40508092,7944,,0,2022
Try That In A Small Town,Try That In A Small Town,Jason Aldean,2023-05-19,QMRSZ2300454,793,54.5,66418201,20547,1758957,37.0,59550101,1432480,,,,803299613,5.0,174811,46,1.0,79460,2.0,106455054,62007,264899,1,2023
Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214881,796,54.3,742515730,93128,28604664,73.0,275203830,1499544,940020,241093278,2486183983,22246842,39.0,10091,,4.0,178868,7.0,36599355,3147,959597,1,2022
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,2023-03-23,SGB502340678,795,54.3,24963236,5624,1097527,48.0,96957064,1319260,3177849,39336848,670846125,6083511,2.0,,,,,1.0,,,228158,1,2023
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-09,USSM12401303,798,54.3,425058273,2563,11967164,,46791219,643498,,,,987644203,63.0,,,3.0,35655,,13815433,36200,,0,2024
Petit gï¿½ï¿,Petit gï¿½ï¿,Jungeli,2023-08-04,QMBZ92393247,797,54.3,159181956,29011,10943796,74.0,159092284,820029,12100,2709265,37717213,201180033,38.0,29970,,46.0,20176323,46.0,,,3454084,1,2023
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,2023-02-04,ING642301070,801,54.2,125047,6,44905,14.0,659724253,4199987,,,,4618100,,2,,,,,,,262,0,2023
ýýý,Show - Single,Ado,2023-09-06,JPPO02302806,800,54.2,114381380,15725,4390255,67.0,230252306,1606934,286300,41518862,613717046,548853137,33.0,507,,1.0,1802,7.0,,,270400,0,2023
Breaking the Habit,Papercuts,Linkin Park,2024-04-12,USWB12401898,802,54.2,428629823,2,454,,,,,,,,,,,,,,,,1649113,0,2024
Work,ANTI (Deluxe),Rihanna,2016-01-28,QM5FT1600116,799,54.2,1399521364,144823,46076265,73.0,1662063771,10770107,3515,6820574,36448419,244639723,432.0,3418,104,135.0,1255495,77.0,603707599,736551,8814930,1,2016
Normal,Normal,Feid,2022-07-08,USUM72211935,804,54.1,724772954,76821,31039211,76.0,395704504,1556356,86775,25803660,237386912,472550280,59.0,28567,239,22.0,4507712,32.0,9638456,2516,956990,1,2022
LALALALA,ROCK-STAR,Stray Kids,2023-11-10,US5TA2300151,803,54.1,154592041,10814,10289612,,161998287,2825345,184200,94512843,430312931,770557253,7.0,3470,11,6.0,249201,38.0,1737006,2335,279165,0,2023
Sum 2 Prove,Sum 2 Prove,Lil Baby,2020-01-10,USUG11902886,807,54.0,444934033,141088,17349295,66.0,411628542,2868681,191154,26909802,238372502,7285479,63.0,65318,37,14.0,145275,6.0,124269386,38557,1925871,1,2020
Lottery (Renegade),Lottery,K CAMP,2019-04-01,USUYG1247701,808,54.0,173526912,28272,6607554,46.0,102774513,1300907,13802112,663362447,6653535769,40852,20.0,120,46,12.0,39746,2.0,41431663,171614,1592457,1,2019
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2017-08-11,USWB11701181,805,54.0,1382191196,119969,51471665,66.0,1318325154,6888667,624291,24379364,260253261,1408688467,5.0,201437,652,39.0,220305,64.0,611963837,298341,,0,2017
Good Days,Good Days,SZA,2020-12-25,USRC12004189,806,54.0,1105805922,164541,62561721,77.0,295872840,2947859,534634,157378144,920329965,42909616,231.0,62354,266,52.0,281696,54.0,71061814,56012,2548829,1,2020
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,2021-04-28,USUG12102313,810,53.9,844630935,94185,54080564,74.0,269892715,2020373,71293,17326017,182430905,993825483,147.0,380249,940,21.0,620249,27.0,139703215,15853,7138195,0,2021
Youngblood,Youngblood,5 Seconds of Summer,2018-04-12,GBUM71800366,811,53.9,1790579305,180069,75602805,76.0,792369989,7627895,226361,15100678,81167209,225749952,148.0,298540,164,33.0,444155,64.0,394705510,159091,10854729,0,2018
Sweater Weather,I'm Sorry...,The Neighbourhood,2012-01-01,USSM11300080,809,53.9,2916412507,415650,149359220,85.0,1648485745,18338729,1248637,324536571,2911383718,71486828,189.0,61334,39,114.0,604895,9.0,384534750,719472,,0,2012
Merayu Tuhan,Merayu Tuhan,Tri Suaka,2023-08-15,QZYFZ2347514,813,53.8,8517888,506,74157,43.0,71408616,296903,2200000,17612619,540360680,45212529,,264,,,,,,,20886,0,2023
If We Being Rï¿½ï,2093,Yeat,2024-02-16,USUM72401643,812,53.8,92517121,10195,13681051,80.0,4695846,79415,,,,,19.0,584,,10.0,1802148,3.0,167577,1061,1371705,1,2024
Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,USSM11914456,815,53.7,634493511,89559,32092279,66.0,325005278,4709406,11714753,557393131,6459413096,12749911,48.0,101,43,36.0,344770,,34039218,29304,8659169,0,2018
Felices los 4,Felices los 4,Maluma,2017-04-21,USSD11700134,814,53.7,932817713,73487,24333265,68.0,2349558424,9318868,206344,18309676,177718441,341943201,100.0,19135,122,53.0,1133769,62.0,251569141,201061,5644479,0,2017
Mariposita,Mariposita,La Vaca Lola,2021-03-04,QZDA62161038,820,53.6,,,,,1562650492,3425982,7,26,747,,,21,,,,,,,,0,2021
Relaciï¿½,Relaciï¿½,Sech,2020-04-02,QM9WM2000013,821,53.6,468900803,62750,12074538,60.0,1137550621,7566148,2205109,110809435,1052766873,125135301,29.0,6654,31,16.0,175086,2.0,117125054,20214,1507000,0,2020
ELOVRGA,Elovrga - Single,Alex Favela,2023-08-18,QZNFJ2303104,819,53.6,333899135,24862,20963358,75.0,180084509,900128,152867,82946328,704890346,246991766,14.0,2919,,11.0,1680860,4.0,1736093,1447,967858,1,2023
Party Girl,Party Girl,StaySolidRocky,2020-04-21,USSM12002247,816,53.6,730440576,115574,16306099,67.0,199161217,2037639,6782670,391923611,3194124847,23072079,62.0,16774,90,15.0,43249,10.0,8510801,72500,1963555,0,2020
I Feel It Coming,I Feel It Coming,The Weeknd,2016-11-17,USUG11601012,817,53.6,1749088490,193568,52373071,72.0,1489647996,7616181,,2430,36437,287132059,298.0,130551,212,123.0,980454,46.0,230834970,108406,17963628,0,2016
Get In With Me,Get In With Me - Single,Bossman Dlow,2024-01-19,USQX92400087,818,53.6,39401314,7442,18628678,,45484183,363079,,7309300,46178900,305726555,31.0,68432,2757,6.0,905095,34.0,10802316,10738,607813,1,2024
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,2020-07-09,USUM72013642,822,53.5,391856304,68311,11888692,58.0,1040938222,8443453,2490398,109826716,1423789944,329599890,73.0,23516,309,17.0,58326,36.0,9507064,15164,1570803,0,2020
Human,Human,Rag'n'Bone Man,2016-07-21,GBARL1600665,824,53.4,1013083048,170367,49113191,74.0,1900272147,12302869,265475,90999656,1070508080,186882524,197.0,145288,138,92.0,885612,43.0,163719567,94640,19092054,0,2016
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,2024-04-12,USSM12403111,823,53.4,64193671,9077,15569468,,10688644,234397,,,,65527813,31.0,2523,,28.0,1345845,,695510,733,349821,1,2024
snowfall,Snowfall - Single,ýýneheart,2022-01-14,QM3DF2191341,828,53.3,652949750,72344,19014919,79.0,46232838,980365,3889444,1232791337,10888392002,,12.0,81,,2.0,58283,,764755,1548,1852974,0,2022
First Love,First Love - Single,Oscar Maydon,2023-12-07,QZJJE2390614,825,53.3,230291754,11519,61076412,78.0,113183874,658962,,,,2342845627,8.0,2091,,19.0,7394544,12.0,15400444,5339,1277194,0,2023
La_Original.mp3,La_Original.mp3,Emilia,2023-11-02,USSD12300584,829,53.3,184441175,17845,26300966,73.0,109532952,635058,193100,40676589,529217516,483390087,55.0,34836,1320,52.0,631203,32.0,39845,57,400818,0,2023
OA,OA,Anuel AA,2023-10-13,QZ7B82300076,827,53.3,178950943,29895,35946086,80.0,113884335,541097,,,,687327384,23.0,10388,,16.0,1284111,,1197289,312,595427,1,2023
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,2022-11-11,BCO3K2200121,830,53.3,54513960,13089,4241209,52.0,183119,2667,4650900,503245598,6429494637,,2.0,17,,17.0,10926,5.0,,,448872,0,2022
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,2020-08-28,KRA402000131,826,53.3,574505748,47463,17801611,58.0,1037344011,21343581,2161485,204760050,1928057718,2185956346,87.0,50575,,33.0,197629,45.0,17035475,44722,1430212,0,2020
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,2024-04-01,USA2P2408081,832,53.2,75894056,2524,11857367,84.0,70842688,1388774,,14529171,59546295,48470843,9.0,290,52,5.0,295059,21.0,348004,177,113020,0,2024
one of wun,One of Wun,Gunna,2024-05-10,USAT22403437,831,53.2,58469975,7073,108431155,82.0,4436805,59189,,,,381728,,,41,,,,,,,1,2024
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-12-01,GBARL2301712,838,53.1,200151839,32776,133835796,82.0,11597448,140956,,,,,55.0,26872,,99.0,10753176,39.0,1710983,370,1371435,0,2023
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2023-02-05,USAT22301358,837,53.1,377174503,100095,41254482,71.0,,,,,,,,,,10.0,1314061,8.0,196473,1346,,1,2023
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-24,QMJMT1902056,836,53.1,1285518117,221749,47461150,74.0,606135388,5429579,24013,9483657,72297780,42301836,119.0,73534,92,33.0,200166,35.0,377326561,178350,3638588,1,2019
TO THE MOON,TO THE MOON,JNR CHOI,2021-11-05,QZNWW2131527,834,53.1,274647899,96137,14188085,60.0,64640927,776716,1905324,583572613,7062611890,2031792442,22.0,161374,2397,16.0,56440,8.0,139439113,21327,3786029,1,2021
Fancy Like,Country Stuff,Walker Hayes,2021-06-04,USQX92101534,835,53.1,328697441,56746,6878594,66.0,174775864,1192058,796309,174360135,2074178281,774476433,53.0,289947,1089,,,45.0,242860151,274465,2520013,0,2021
The Color Violet,Alone At Prom,Tory Lanez,2021-12-10,QZTGW2100275,833,53.1,806918358,152298,19863721,79.0,105278538,1053733,40106,22514603,251896836,3583107,22.0,2409,,2.0,22675,3.0,893116,8036,2322363,0,2021
S91,S91,KAROL G,2023-07-14,USUG12305255,840,53.0,240161044,22270,15087485,64.0,164645464,1308408,503900,16972968,257922639,438911868,40.0,24578,572,19.0,2172067,4.0,19801440,3668,614971,0,2023
LALISA,LALISA,LISA,2021-09-10,KRA402100098,839,53.0,502655066,33286,15876032,73.0,900358198,23155453,909216,188844723,1612602199,255397268,19.0,8719,134,13.0,16498,25.0,2844171,4038,1084041,0,2021
Levitating,Future Nostalgia,Dua Lipa,2020-03-27,GBAHT1901299,841,52.9,946842175,145601,34376048,73.0,39855160,660222,1493355,552112407,4779580212,52496892,269.0,704419,,73.0,1232589,107.0,85497325,33210,3946971,0,2020
RUBICON,Gï¿½ï¿½N,Peso Pluma,2023-06-22,QM7282306229,844,52.9,246224964,23436,13507680,73.0,147798315,492303,559400,20923219,278318607,37990067,22.0,1401,1,1.0,72,2.0,22544059,10243,585523,1,2023
Gimme Love,Gimme Love,Sia,2023-09-13,USAT22307798,843,52.9,105947434,11648,11690122,6.0,27707323,325476,688,463074,12855128,1157866791,55.0,224009,172,40.0,23048308,21.0,1319886,112,1684376,0,2023
Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,2024-03-07,BRWMB2400220,842,52.9,71944011,5329,22615957,67.0,89527069,935574,,,,195273347,,7,,32.0,9834159,14.0,,,,1,2024
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,2024-01-19,INS182400204,848,52.8,114992281,3618,12001774,75.0,144797885,1123962,,,,1197864632,19.0,555,,,,27.0,,,286797,0,2024
Arjan Vailly,"Arjan Vailly (From ""ANIMAL"")",Manan Bhardwaj,2023-11-18,INS182303269,849,52.8,123276250,8330,3632731,,208302578,1903455,,,,336717167,6.0,286,,,,11.0,,,146801,0,2023
